datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.06751,0.06896,0.067144,0.067598,19.0,0.0
"Jul 25, 2017",0.067709,0.0706,0.0504,0.055303,130.0,0.0
"Jul 26, 2017",0.054994,0.05644,0.031749,0.044909,41.0,0.0
"Jul 27, 2017",0.04479,0.051833,0.034285,0.05051,75.0,0.0
"Jul 28, 2017",0.050176,0.050977,0.035042,0.042629,40.0,0.0
"Jul 29, 2017",0.042011,0.04846,0.037465,0.040869,36.0,0.0
"Jul 30, 2017",0.040916,0.043156,0.032132,0.041617,243.0,0.0
"Jul 31, 2017",0.042224,0.043026,0.032296,0.035924,8.0,0.0
"Aug 01, 2017",0.035826,0.03586,0.030685,0.032825,15.0,0.0
"Aug 02, 2017",0.033195,0.047088,0.031476,0.042185,11.0,0.0
"Aug 03, 2017",0.042013,0.045225,0.033839,0.04353,79.0,0.0
"Aug 04, 2017",0.043682,0.044408,0.029651,0.034609,0.0,0.0
"Aug 05, 2017",0.034534,0.043317,0.033897,0.040359,24.0,0.0
"Aug 06, 2017",0.040301,0.04275,0.038704,0.038875,42.0,0.0
"Aug 07, 2017",0.03889,0.043601,0.030594,0.031596,209.0,0.0
"Aug 08, 2017",0.031896,0.040901,0.027775,0.031164,22.0,0.0
"Aug 09, 2017",0.030993,0.038406,0.030214,0.035677,69.0,0.0
"Aug 10, 2017",0.035563,0.036969,0.034125,0.03447,83.0,0.0
"Aug 11, 2017",0.034469,0.03949,0.031361,0.033623,49.0,0.0
"Aug 12, 2017",0.033841,0.038597,0.028204,0.038303,78.0,0.0
"Aug 13, 2017",0.038638,0.039245,0.026316,0.026492,134.0,0.0
"Aug 14, 2017",0.026456,0.028381,0.019483,0.025223,17.0,0.0
"Aug 15, 2017",0.025394,0.037531,0.024354,0.034611,59.0,0.0
"Aug 16, 2017",0.034454,0.041131,0.03237,0.034687,771.0,0.0
"Aug 17, 2017",0.034544,0.041854,0.024191,0.025091,65.0,0.0
"Aug 18, 2017",0.024985,0.035815,0.021687,0.022132,17.0,0.0
"Aug 19, 2017",0.022255,0.032442,0.020884,0.028482,73.0,0.0
"Aug 20, 2017",0.028363,0.029434,0.022467,0.026143,254.0,0.0
"Aug 21, 2017",0.025586,0.03592,0.025382,0.032985,77.0,0.0
"Aug 22, 2017",0.033008,0.037465,0.025355,0.037194,138.0,0.0
