datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.002901,0.004056,0.002886,0.003502,96.0,322.0
2017-1-02,0.003504,0.004203,0.001913,0.001962,228.0,389.0
2017-1-03,0.001962,0.004033,0.001961,0.002224,10.0,218.0
2017-1-04,0.002223,0.003877,0.002223,0.002653,257.0,247.0
2017-1-05,0.002656,0.003953,0.002543,0.003537,29.0,295.0
2017-1-06,0.003547,0.003664,0.002127,0.002174,7.0,394.0
2017-1-07,0.002177,0.00219,0.001985,0.00219,0.0,242.0
2017-1-08,0.00219,0.003612,0.002139,0.003603,2.0,243.0
2017-1-09,0.003608,0.003618,0.002094,0.002159,1.0,401.0
2017-1-10,0.002158,0.005248,0.002108,0.00521,482.0,240.0
2017-1-11,0.00521,0.005235,0.002212,0.002415,7.0,579.0
2017-1-12,0.002411,0.002561,0.002343,0.002497,28.0,268.0
2017-1-13,0.002495,0.002653,0.002418,0.002633,3.0,277.0
2017-1-14,0.002637,0.002672,0.002397,0.002415,70.0,293.0
2017-1-15,0.002414,0.002625,0.002387,0.002408,60.0,268.0
2017-1-16,0.002408,0.002439,0.002403,0.002427,83.0,268.0
2017-1-17,0.002428,0.002686,0.002426,0.002677,1.0,270.0
2017-1-18,0.002678,0.003576,0.002541,0.002675,5.0,298.0
2017-1-19,0.002686,0.003569,0.002661,0.002788,81.0,298.0
2017-1-20,0.002787,0.003553,0.002754,0.003401,13.0,310.0
2017-1-21,0.003401,0.003618,0.003401,0.003503,3.0,378.0
2017-1-22,0.003503,0.00368,0.003043,0.003186,108.0,389.0
2017-1-23,0.00319,0.004983,0.003163,0.003373,36.0,354.0
2017-1-24,0.003371,0.003501,0.003303,0.003435,1.0,375.0
2017-1-25,0.003437,0.004791,0.003374,0.00338,65.0,382.0
2017-1-26,0.003381,0.005122,0.003295,0.00512,88.0,376.0
2017-1-27,0.00512,0.005261,0.00348,0.005252,34.0,569.0
2017-1-28,0.005252,0.00935,0.004142,0.008018,969.0,584.0
2017-1-29,0.008018,0.010158,0.005639,0.005646,120.0,891.0
2017-1-30,0.005646,0.008062,0.005646,0.005736,16.0,627.0
2017-1-31,0.005734,0.008585,0.005734,0.00627,22.0,637.0
2017-2-01,0.006269,0.006391,0.006174,0.006241,41.0,697.0
2017-2-02,0.006241,0.006334,0.006162,0.006324,11.0,693.0
2017-2-03,0.006322,0.006462,0.006261,0.006282,61.0,702.0
2017-2-04,0.00626,0.012736,0.006162,0.006529,73.0,696.0
2017-2-05,0.006532,0.012584,0.006509,0.011558,83.0,726.0
2017-2-06,0.011569,0.012665,0.006888,0.012665,195.0,1285.0
2017-2-07,0.01269,0.012898,0.007272,0.007695,42.0,1410.0
2017-2-08,0.007702,0.012591,0.007574,0.007867,391.0,856.0
2017-2-09,0.007879,0.008059,0.007102,0.007607,92.0,875.0
2017-2-10,0.007617,0.007748,0.007157,0.007712,20.0,846.0
2017-2-11,0.007713,0.012788,0.007666,0.008046,129.0,857.0
2017-2-12,0.008038,0.035631,0.008002,0.019984,883.0,893.0
2017-2-13,0.019978,0.035625,0.015131,0.015157,730.0,2220.0
2017-2-14,0.015173,0.015424,0.014142,0.014164,140.0,1686.0
2017-2-15,0.014188,0.015312,0.012537,0.012594,41.0,1576.0
2017-2-16,0.012596,0.015577,0.012356,0.012535,63.0,1400.0
2017-2-17,0.012519,0.014334,0.012513,0.012659,13.0,1391.0
2017-2-18,0.012695,0.015979,0.012157,0.012179,13.0,1411.0
2017-2-19,0.012183,0.015052,0.011296,0.011369,52.0,1354.0
2017-2-20,0.011378,0.015811,0.011299,0.011718,115.0,1264.0
2017-2-21,0.01171,0.015428,0.011685,0.012112,17.0,1301.0
2017-2-22,0.012107,0.014287,0.010586,0.010627,49.0,1345.0
2017-2-23,0.010625,0.014585,0.010625,0.011317,13.0,1181.0
2017-2-24,0.011375,0.015285,0.01098,0.011385,7.0,1264.0
2017-2-25,0.011353,0.011378,0.010706,0.010866,31.0,1261.0
2017-2-26,0.010871,0.01156,0.010737,0.011069,9.0,1208.0
2017-2-27,0.011056,0.011141,0.010549,0.010679,6.0,1228.0
2017-2-28,0.010686,0.010799,0.010605,0.010691,10.0,1187.0
2017-3-01,0.010691,0.010831,0.010468,0.010831,10.0,1188.0
2017-3-02,0.010851,0.011182,0.01077,0.010959,48.0,1206.0
2017-3-03,0.010956,0.01284,0.010956,0.011156,9.0,1217.0
2017-3-04,0.011177,0.011774,0.010533,0.010731,35.0,1242.0
2017-3-05,0.010724,0.011681,0.010585,0.010834,3.0,1192.0
2017-3-06,0.010837,0.01091,0.010812,0.010883,2.0,1204.0
2017-3-07,0.010886,0.012039,0.010464,0.01051,6.0,1210.0
2017-3-08,0.010507,0.011631,0.009828,0.009844,9.0,1167.0
2017-3-09,0.009847,0.010298,0.009769,0.010233,4.0,1094.0
2017-3-10,0.01024,0.012659,0.009318,0.00966,9.0,1138.0
2017-3-11,0.009656,0.012151,0.009571,0.009665,91.0,1073.0
2017-3-12,0.009672,0.017993,0.009661,0.010504,144.0,1075.0
2017-3-13,0.010507,0.018796,0.010467,0.010656,5.0,1167.0
2017-3-14,0.010658,0.019158,0.010555,0.010788,22.0,1184.0
2017-3-15,0.010789,0.019803,0.010786,0.010997,8.0,1199.0
2017-3-16,0.011012,0.01946,0.010199,0.010512,18.0,1224.0
2017-3-17,0.010444,0.019336,0.009687,0.009693,43.0,1160.0
2017-3-18,0.009688,0.009815,0.008427,0.00857,4.0,1076.0
2017-3-19,0.008595,0.010445,0.008595,0.009175,44.0,955.0
2017-3-20,0.00918,0.009408,0.009178,0.00933,10.0,1020.0
2017-3-21,0.00934,0.011724,0.00934,0.010141,7.0,1038.0
2017-3-22,0.010142,0.010142,0.009179,0.009495,6.0,1127.0
2017-3-23,0.009503,0.012142,0.009312,0.009555,17.0,1056.0
2017-3-24,0.009554,0.012136,0.008662,0.008691,18.0,1062.0
2017-3-25,0.008682,0.009104,0.008384,0.009047,6.0,965.0
2017-3-26,0.009058,0.009962,0.008883,0.008991,5.0,1006.0
2017-3-27,0.00904,0.009742,0.009039,0.009736,7.0,1004.0
2017-3-28,0.009725,0.009929,0.009609,0.009791,5.0,1081.0
2017-3-29,0.009781,0.021071,0.009498,0.010795,26.0,1087.0
2017-3-30,0.010818,0.02079,0.010761,0.010932,6.0,1202.0
2017-3-31,0.010934,0.020959,0.010934,0.011532,12.0,1215.0
2017-4-01,0.011532,0.011886,0.011494,0.011886,28.0,1281.0
2017-4-02,0.011887,0.021676,0.011671,0.0123,12.0,1321.0
2017-4-03,0.012309,0.023865,0.012309,0.019571,37.0,1368.0
2017-4-04,0.0196,0.019891,0.019321,0.019492,62.0,2178.0
2017-4-05,0.019507,0.026268,0.019099,0.019301,28.0,2167.0
2017-4-06,0.019319,0.033329,0.019319,0.020993,43.0,2147.0
