datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-02,0.001507,0.002451,0.001487,0.001999,134.0,0.0
2017-7-03,0.001992,0.002572,0.001863,0.002517,125.0,0.0
2017-7-04,0.002511,0.002511,0.001955,0.002384,119.0,0.0
2017-7-05,0.002383,0.002728,0.002157,0.002728,44.0,0.0
2017-7-06,0.00273,0.003906,0.002701,0.003609,255.0,0.0
2017-7-07,0.003612,0.007579,0.00286,0.003824,560.0,0.0
2017-7-08,0.003828,0.004884,0.003469,0.003591,254.0,0.0
2017-7-09,0.003595,0.003664,0.002851,0.003,175.0,0.0
2017-7-10,0.002756,0.003383,0.002624,0.002791,333.0,0.0
2017-7-11,0.002785,0.002819,0.002683,0.002712,15.0,0.0
2017-7-12,0.002698,0.002703,0.002382,0.002599,55.0,76305.0
2017-7-13,0.002601,0.002908,0.002321,0.002343,112.0,73555.0
2017-7-14,0.002341,0.003031,0.002303,0.003022,329.0,66202.0
2017-7-15,0.003017,0.003563,0.002618,0.002907,213.0,85326.0
2017-7-16,0.002898,0.004274,0.002497,0.004274,4252.0,81962.0
2017-7-17,0.004269,0.01316,0.004269,0.00781,194300.0,120720.0
2017-7-18,0.007876,0.010703,0.005986,0.006038,1354.0,222715.0
2017-7-19,0.006047,0.007466,0.005072,0.005155,962.0,171012.0
2017-7-20,0.005139,0.008341,0.005139,0.006437,753.0,145331.0
2017-7-21,0.006485,0.006507,0.004349,0.004483,245.0,183390.0
2017-7-22,0.004482,0.005483,0.004417,0.004691,199.0,126755.0
2017-7-23,0.004691,0.00484,0.004054,0.004131,760.0,132667.0
2017-7-24,0.004126,0.004146,0.000679,0.002537,2200.0,116673.0
2017-7-25,0.002537,0.003205,0.001468,0.002175,306.0,71735.0
2017-7-26,0.002176,0.002215,0.001443,0.001879,231.0,61538.0
2017-7-27,0.001884,0.002165,0.00179,0.001911,54.0,53271.0
2017-7-28,0.001918,0.002119,0.001912,0.002108,47.0,54229.0
2017-7-29,0.002106,0.002502,0.001939,0.002305,70.0,59549.0
2017-7-30,0.002304,0.002325,0.001896,0.001913,48.0,65167.0
2017-7-31,0.001914,0.001916,0.001424,0.00183,47.0,54139.0
2017-8-01,0.001831,0.001831,0.001368,0.001667,57.0,51791.0
2017-8-02,0.001666,0.001731,0.001464,0.001593,51.0,47110.0
2017-8-03,0.001598,0.001682,0.001532,0.001617,11.0,45197.0
2017-8-04,0.001616,0.001677,0.001387,0.001389,12.0,45712.0
2017-8-05,0.001389,0.002791,0.001389,0.002076,173.0,39268.0
2017-8-06,0.002076,0.00224,0.001804,0.002232,28.0,58713.0
2017-8-07,0.002228,0.002775,0.001666,0.001863,84.0,63004.0
2017-8-08,0.001865,0.002315,0.00185,0.002292,4.0,52747.0
2017-8-09,0.002291,0.005239,0.002111,0.003848,102.0,64775.0
2017-8-10,0.003846,0.003846,0.001903,0.002118,107.0,108761.0
2017-8-11,0.002938,0.00348,0.001704,0.003434,388.0,83080.0
2017-8-12,0.003431,0.003432,0.002378,0.003058,1301.0,97034.0
2017-8-13,0.002978,0.006443,0.002978,0.003374,749.0,84220.0
2017-8-14,0.003376,0.003782,0.002998,0.003064,305.0,95465.0
2017-8-15,0.003072,0.003276,0.002742,0.002904,66.0,86882.0
2017-8-16,0.002908,0.002938,0.002667,0.002855,104.0,82224.0
2017-8-17,0.002853,0.00697,0.002567,0.004375,66246.0,80673.0
2017-8-18,0.004106,0.004672,0.002705,0.003084,1555.0,116114.0
2017-8-19,0.003081,0.003135,0.002578,0.002665,738.0,87141.0
2017-8-20,0.002653,0.002989,0.002592,0.002606,153.0,75025.0
2017-8-21,0.002596,0.002616,0.002471,0.002477,41.0,73412.0
2017-8-22,0.002482,0.00252,0.002106,0.00229,135.0,70198.0
2017-8-23,0.002286,0.002765,0.00201,0.002111,163.0,64635.0
2017-8-24,0.002112,0.003188,0.001691,0.003165,30788.0,59716.0
2017-8-25,0.00316,0.003228,0.002437,0.002497,2727.0,89354.0
2017-8-26,0.002498,0.003014,0.002364,0.002825,588.0,70645.0
