datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 31, 2017",0.000135,0.000144,5.4e-05,0.000114,2706.0,0.0
"Aug 01, 2017",0.000114,0.000145,8.2e-05,0.000109,98.0,27681.0
"Aug 02, 2017",0.000109,0.000136,8.1e-05,0.000108,777.0,26431.0
"Aug 03, 2017",0.000108,0.000137,8.2e-05,0.000111,289.0,26152.0
"Aug 04, 2017",0.000112,0.000115,8.4e-05,0.000114,300.0,27029.0
"Aug 05, 2017",0.000114,0.00023,9.3e-05,0.000195,1783.0,27695.0
"Aug 06, 2017",0.000195,0.000261,0.000158,0.000226,2018.0,47402.0
"Aug 07, 2017",0.000225,0.000351,0.000223,0.000351,3438.0,54747.0
"Aug 08, 2017",0.000352,0.00064,0.000317,0.000462,7240.0,85451.0
"Aug 09, 2017",0.000462,0.00059,0.000404,0.000536,1882.0,112317.0
"Aug 10, 2017",0.000536,0.000548,0.000338,0.000409,1488.0,130392.0
"Aug 11, 2017",0.000409,0.000637,0.00029,0.000586,11351.0,99622.0
"Aug 12, 2017",0.000586,0.000802,0.000407,0.000758,9312.0,142822.0
"Aug 13, 2017",0.000756,0.00255,0.00064,0.001744,33406.0,184461.0
"Aug 14, 2017",0.001745,0.006064,0.001605,0.003147,96102.0,425846.0
"Aug 15, 2017",0.003535,0.003833,0.000281,0.000885,34677.0,863422.0
"Aug 16, 2017",0.000548,0.002679,0.000548,0.001361,39358.0,134010.0
"Aug 17, 2017",0.001304,0.001787,0.000943,0.001054,18367.0,318991.0
"Aug 18, 2017",0.00105,0.001408,0.00082,0.000878,15453.0,257046.0
"Aug 19, 2017",0.000878,0.001075,0.000638,0.000877,3662.0,214952.0
"Aug 20, 2017",0.000873,0.000876,0.000692,0.000868,1948.0,213814.0
"Aug 21, 2017",0.000801,0.000801,0.000286,0.000575,10937.0,196271.0
"Aug 22, 2017",0.000576,0.000576,0.000352,0.000418,2165.0,141370.0
