datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Apr 20, 2017",0.001206,0.001207,0.001204,0.001205,144.0,0.0
"Apr 21, 2017",0.001205,0.001211,0.000608,0.000611,1.0,18874.0
"Apr 22, 2017",0.000611,0.000616,0.000604,0.00061,0.0,9580.0
"Apr 23, 2017",0.000635,0.00066,0.000614,0.000616,12.0,9959.0
"Apr 24, 2017",0.000617,0.001073,0.000354,0.000363,83.0,9672.0
"Apr 25, 2017",0.000363,0.000376,0.000362,0.000367,13.0,5687.0
"Apr 26, 2017",0.000367,0.000746,0.000367,0.000743,128.0,5759.0
"Apr 27, 2017",0.000743,0.001428,0.000491,0.000501,88.0,11666.0
"Apr 28, 2017",0.000501,0.000658,0.000498,0.000658,26.0,7859.0
"Apr 29, 2017",0.000659,0.000664,0.000593,0.000595,6.0,10344.0
"Apr 30, 2017",0.000595,0.00151,0.000594,0.00151,9.0,9341.0
"May 01, 2017",0.00151,0.002639,0.00151,0.002616,382.0,23719.0
"May 02, 2017",0.002615,0.00364,0.002605,0.00353,400.0,41080.0
"May 03, 2017",0.003533,0.004151,0.001556,0.001565,93.0,55518.0
"May 04, 2017",0.001565,0.004033,0.001565,0.004029,117.0,24605.0
"May 05, 2017",0.004037,0.004328,0.00176,0.003562,73.0,63478.0
"May 06, 2017",0.003565,0.003615,0.003532,0.003615,9.0,56071.0
"May 07, 2017",0.003617,0.003629,0.003591,0.003598,8.0,56903.0
"May 08, 2017",0.003514,0.003602,0.003514,0.003602,0.0,55316.0
"May 09, 2017",0.003603,0.003667,0.000824,0.00093,58.0,56712.0
"May 10, 2017",0.000931,0.000941,0.000911,0.000932,15.0,14658.0
"May 11, 2017",0.000933,0.001748,0.000923,0.001716,2.0,14700.0
"May 12, 2017",0.001718,0.001721,0.0009,0.000917,1.0,27056.0
"May 13, 2017",0.000916,0.000995,0.000872,0.000993,1.0,14427.0
"May 14, 2017",0.000996,0.001016,0.000991,0.000996,0.0,15704.0
"May 15, 2017",0.001011,0.001011,0.000981,0.001004,4.0,15947.0
"May 16, 2017",0.001002,0.00262,0.000977,0.001165,54.0,15807.0
"May 17, 2017",0.001165,0.001231,0.001153,0.001204,54.0,18376.0
"May 18, 2017",0.003136,0.003247,0.003132,0.003241,10.0,49493.0
"May 19, 2017",0.003243,0.003296,0.001211,0.001316,9.0,51186.0
"May 20, 2017",0.001315,0.001335,0.001313,0.001329,1.0,20756.0
"May 22, 2017",0.003512,0.003755,0.003378,0.003525,21.0,55476.0
"May 23, 2017",0.00352,0.003857,0.00352,0.00384,229.0,55606.0
"May 24, 2017",0.003845,0.004077,0.000376,0.004001,554.0,60760.0
"May 25, 2017",0.003993,0.004154,0.000395,0.00196,296.0,63124.0
"May 26, 2017",0.001946,0.002199,0.001601,0.002163,130.0,30761.0
"May 27, 2017",0.00217,0.002235,0.00062,0.000651,184.0,34318.0
"May 28, 2017",0.000655,0.001135,0.000655,0.000718,66.0,10358.0
"May 29, 2017",0.000716,0.001487,0.000697,0.001456,8.0,11336.0
"May 30, 2017",0.001458,0.001522,0.000821,0.001462,119.0,23074.0
"May 31, 2017",0.001467,0.001897,0.000927,0.001897,114.0,23231.0
"Jun 01, 2017",0.001898,0.002175,0.001043,0.001055,113.0,30060.0
"Jun 02, 2017",0.001056,0.001114,0.001043,0.001114,27.0,16725.0
"Jun 03, 2017",0.001114,0.001353,0.001094,0.001347,3.0,17646.0
"Jun 04, 2017",0.001343,0.001413,0.001312,0.001409,29.0,21286.0
"Jun 05, 2017",0.001409,0.001478,0.001406,0.001478,32.0,22343.0
"Jun 06, 2017",0.001482,0.001609,0.001482,0.001522,33.0,23502.0
"Jun 07, 2017",0.001714,0.001733,0.001683,0.001713,2.0,27200.0
"Jun 08, 2017",0.001722,0.002188,0.001676,0.002188,26.0,27320.0
"Jun 09, 2017",0.002185,0.002624,0.00218,0.002413,89.0,34675.0
"Jun 10, 2017",0.002417,0.002483,0.002414,0.002481,3.0,38365.0
"Jun 12, 2017",0.001714,0.001792,0.001687,0.001776,28.0,27221.0
"Jun 13, 2017",0.00177,0.002678,0.00177,0.002628,1489.0,28114.0
"Jun 14, 2017",0.002627,0.004386,0.002626,0.004227,223.0,41739.0
"Jun 15, 2017",0.004227,0.004307,0.001937,0.002198,202.0,67181.0
"Jun 16, 2017",0.002197,0.004122,0.002109,0.004122,1.0,34922.0
"Jun 17, 2017",0.004122,0.004122,0.004122,0.004122,1.0,65547.0
"Jun 18, 2017",0.004122,0.004222,0.002623,0.004222,59.0,65564.0
"Jun 19, 2017",0.004222,0.004222,0.002423,0.004015,61.0,67171.0
"Jun 20, 2017",0.004015,0.004015,0.00208,0.002398,1.0,63895.0
"Jun 21, 2017",0.002398,0.002798,0.002398,0.002623,7.0,38177.0
"Jun 22, 2017",0.002623,0.002998,0.002623,0.002702,5.0,41767.0
"Jun 23, 2017",0.002702,0.003225,0.002398,0.00248,21.0,43043.0
"Jun 24, 2017",0.002479,0.014594,0.001643,0.003317,1046.0,39501.0
"Jun 25, 2017",0.00331,0.006201,0.002591,0.00285,164.0,52746.0
"Jun 26, 2017",0.002848,0.003978,0.001991,0.001991,102.0,45404.0
"Jun 27, 2017",0.001991,0.003337,0.001825,0.003337,75.0,31746.0
"Jun 28, 2017",0.003359,0.003398,0.002056,0.002069,5.0,53569.0
"Jun 29, 2017",0.002068,0.003197,0.002026,0.003134,2.0,32984.0
"Jun 30, 2017",0.00314,0.003152,0.002174,0.002183,8.0,50103.0
"Jul 01, 2017",0.002182,0.003367,0.002173,0.00325,11.0,34829.0
"Jul 02, 2017",0.003249,0.003421,0.002397,0.002474,8.0,51880.0
"Jul 03, 2017",0.002465,0.003759,0.002446,0.003712,4.0,39359.0
"Jul 04, 2017",0.003703,0.00383,0.002695,0.002716,2.0,59158.0
"Jul 05, 2017",0.002715,0.003791,0.002517,0.003768,2.0,43380.0
"Jul 06, 2017",0.00377,0.003827,0.003704,0.003816,7.0,60249.0
"Jul 07, 2017",0.003819,0.003834,0.002803,0.002832,3.0,61050.0
"Jul 08, 2017",0.002834,0.003825,0.002803,0.003821,25.0,45320.0
"Jul 09, 2017",0.003824,0.003877,0.00308,0.003175,15.0,61166.0
"Jul 10, 2017",0.003182,0.003199,0.003025,0.003064,10.0,50904.0
"Jul 11, 2017",0.003065,0.003643,0.002931,0.00302,36.0,49044.0
"Jul 12, 2017",0.003005,0.00364,0.002928,0.003601,8.0,48106.0
"Jul 13, 2017",0.003603,0.003667,0.001634,0.002514,163.0,57695.0
"Jul 14, 2017",0.002512,0.005099,0.00221,0.003501,110.0,40217.0
"Jul 15, 2017",0.003494,0.00447,0.001924,0.002383,205.0,55982.0
"Jul 16, 2017",0.002376,0.003288,0.002109,0.003234,14.0,38071.0
"Jul 17, 2017",0.003231,0.003521,0.002417,0.002993,9.0,51762.0
"Jul 18, 2017",0.003001,0.004025,0.002906,0.003885,4.0,48112.0
"Jul 19, 2017",0.003892,0.00475,0.003302,0.003348,3.0,62409.0
"Jul 20, 2017",0.003338,0.003944,0.003131,0.003823,0.0,53541.0
"Jul 21, 2017",0.003851,0.004164,0.003618,0.004055,2.0,61797.0
"Jul 22, 2017",0.004054,0.004809,0.004035,0.004759,132.0,65069.0
"Jul 23, 2017",0.004759,0.004803,0.003836,0.003847,0.0,76394.0
"Jul 24, 2017",0.003976,0.005468,0.002877,0.002883,171.0,63851.0
"Jul 25, 2017",0.002883,0.004446,0.002789,0.002855,9.0,46304.0
"Jul 26, 2017",0.002857,0.003078,0.002225,0.002751,33.0,45896.0
"Jul 27, 2017",0.002759,0.003852,0.002471,0.003418,230.0,44327.0
"Jul 28, 2017",0.003428,0.003595,0.001379,0.001864,83.0,55082.0
"Jul 29, 2017",0.001857,0.002533,0.001426,0.001504,54.0,29839.0
"Jul 30, 2017",0.001506,0.001581,0.001441,0.001573,20.0,24213.0
"Jul 31, 2017",0.0016,0.00179,0.001591,0.00179,1.0,25746.0
"Aug 01, 2017",0.001791,0.00184,0.001663,0.001829,3.0,28821.0
"Aug 02, 2017",0.001829,0.002422,0.00178,0.001808,15.0,29433.0
"Aug 03, 2017",0.001812,0.001836,0.001811,0.001836,14.0,29168.0
"Aug 05, 2017",0.002835,0.002956,0.002029,0.00203,11.0,45671.0
"Aug 06, 2017",0.002031,0.002248,0.001965,0.002248,21.0,32723.0
"Aug 07, 2017",0.002243,0.002327,0.002052,0.002179,35.0,36149.0
"Aug 08, 2017",0.002181,0.002454,0.002154,0.002445,16.0,35157.0
"Aug 10, 2017",0.003084,0.003099,0.003059,0.003075,6.0,49756.0
"Aug 11, 2017",0.003074,0.003332,0.003061,0.003288,6.0,49602.0
"Aug 12, 2017",0.003285,0.003563,0.003251,0.00345,1.0,53017.0
"Aug 13, 2017",0.003138,0.003793,0.002894,0.003735,5.0,50664.0
"Aug 14, 2017",0.003737,0.003929,0.003096,0.003927,22.0,60337.0
"Aug 15, 2017",0.003938,0.004029,0.003515,0.003776,1.0,63592.0
"Aug 16, 2017",0.00378,0.00382,0.003594,0.00375,1.0,61061.0
"Aug 18, 2017",0.003882,0.003884,0.002981,0.003084,17.0,62743.0
"Aug 19, 2017",0.003081,0.003138,0.00298,0.003004,15.0,49815.0
"Aug 21, 2017",0.003724,0.005499,0.003724,0.005349,138.0,60229.0
"Aug 22, 2017",0.005361,0.005361,0.004854,0.00514,2.0,86739.0
