datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.001083,0.001144,0.000969,0.001,3.0,4761.0
"Jan 02, 2017",0.001001,0.001087,0.001001,0.001078,3.0,4398.0
"Jan 03, 2017",0.001078,0.001088,0.001032,0.001055,1.0,4737.0
"Jan 04, 2017",0.001054,0.001234,0.001035,0.001084,6.0,4633.0
"Jan 05, 2017",0.001085,0.001539,0.000892,0.001009,8.0,4768.0
"Jan 06, 2017",0.001012,0.001038,0.000852,0.000868,3.0,4448.0
"Jan 07, 2017",0.000869,0.000895,0.000785,0.000885,2.0,3819.0
"Jan 08, 2017",0.000885,0.001361,0.000654,0.000927,235.0,3890.0
"Jan 09, 2017",0.000929,0.001002,0.000883,0.000896,5.0,4082.0
"Jan 10, 2017",0.000896,0.00116,0.000893,0.000919,5.0,3937.0
"Jan 11, 2017",0.000919,0.000928,0.000775,0.00079,2.0,4040.0
"Jan 12, 2017",0.000789,0.000826,0.000745,0.000805,4.0,3467.0
"Jan 13, 2017",0.000804,0.001098,0.000774,0.000854,12.0,3535.0
"Jan 14, 2017",0.000855,0.001175,0.00085,0.000851,8.0,3759.0
"Jan 15, 2017",0.000851,0.001112,0.000809,0.000836,6.0,3739.0
"Jan 16, 2017",0.000836,0.001186,0.00082,0.001159,151.0,3676.0
"Jan 17, 2017",0.001159,0.001161,0.000912,0.000998,10.0,5093.0
"Jan 18, 2017",0.000999,0.00106,0.000936,0.000954,16.0,4389.0
"Jan 19, 2017",0.000958,0.000968,0.000878,0.000884,54.0,4210.0
"Jan 20, 2017",0.000884,0.00094,0.000865,0.00094,27.0,3885.0
"Jan 21, 2017",0.00094,0.000979,0.000855,0.000858,14.0,4132.0
"Jan 22, 2017",0.000858,0.001099,0.000857,0.001099,16.0,3771.0
"Jan 23, 2017",0.0011,0.001101,0.000842,0.000976,478.0,4836.0
"Jan 24, 2017",0.000964,0.001005,0.000882,0.000955,1206.0,4238.0
"Jan 25, 2017",0.000955,0.000991,0.000855,0.000856,5089.0,4197.0
"Jan 26, 2017",0.000857,0.00112,0.000857,0.000908,6011.0,3765.0
"Jan 27, 2017",0.001026,0.001184,0.000868,0.000975,2755.0,4509.0
"Jan 28, 2017",0.000975,0.001181,0.000841,0.000859,5104.0,4284.0
"Jan 29, 2017",0.000859,0.001362,0.000831,0.001148,4930.0,3776.0
"Jan 30, 2017",0.001148,0.001381,0.000841,0.00103,4728.0,5046.0
"Jan 31, 2017",0.001146,0.001328,0.000889,0.001281,8128.0,5038.0
"Feb 01, 2017",0.00129,0.002143,0.00098,0.001104,5871.0,5672.0
"Feb 02, 2017",0.001104,0.001957,0.000998,0.00177,6524.0,4851.0
"Feb 03, 2017",0.00177,0.001973,0.001091,0.001185,3846.0,7777.0
"Feb 04, 2017",0.001187,0.001977,0.001103,0.00119,3312.0,5217.0
"Feb 05, 2017",0.00119,0.001808,0.001152,0.001612,5680.0,5232.0
"Feb 06, 2017",0.001665,0.001689,0.001128,0.001172,2759.0,7319.0
"Feb 07, 2017",0.001175,0.001389,0.001091,0.001115,3653.0,5163.0
"Feb 08, 2017",0.001116,0.001432,0.000965,0.000993,720.0,4903.0
"Feb 09, 2017",0.000995,0.001477,0.000915,0.001213,1255.0,4373.0
"Feb 10, 2017",0.001215,0.001447,0.000925,0.001196,921.0,5338.0
"Feb 11, 2017",0.001196,0.001446,0.001133,0.001285,762.0,5258.0
"Feb 12, 2017",0.001284,0.001429,0.001148,0.001173,651.0,5643.0
"Feb 13, 2017",0.001173,0.001346,0.00116,0.001226,671.0,5155.0
"Feb 14, 2017",0.001228,0.001309,0.001194,0.001308,479.0,5395.0
"Feb 15, 2017",0.00131,0.001504,0.001287,0.001377,1159.0,5759.0
"Feb 16, 2017",0.001394,0.001528,0.001031,0.001396,2108.0,6127.0
"Feb 17, 2017",0.001394,0.001503,0.001125,0.001457,1605.0,6127.0
"Feb 18, 2017",0.001457,0.001557,0.001317,0.001357,638.0,6402.0
"Feb 19, 2017",0.001358,0.001429,0.001279,0.001347,583.0,5967.0
"Feb 20, 2017",0.001348,0.001376,0.001192,0.001215,521.0,5924.0
"Feb 21, 2017",0.001214,0.001288,0.001211,0.001266,567.0,5335.0
"Feb 22, 2017",0.001265,0.001296,0.00125,0.001275,926.0,5559.0
"Feb 23, 2017",0.001275,0.001368,0.001275,0.001307,1192.0,5602.0
"Feb 24, 2017",0.001314,0.001433,0.001257,0.001409,1049.0,5774.0
"Feb 25, 2017",0.001406,0.001451,0.001295,0.001339,1188.0,6177.0
"Feb 26, 2017",0.001339,0.001389,0.001304,0.001375,493.0,5886.0
"Feb 27, 2017",0.001373,0.001612,0.001361,0.001471,854.0,6036.0
"Feb 28, 2017",0.001472,0.001514,0.001378,0.001416,434.0,6470.0
"Mar 01, 2017",0.001416,0.001422,0.001365,0.001407,740.0,6223.0
"Mar 02, 2017",0.001409,0.001604,0.001398,0.001576,497.0,6193.0
"Mar 03, 2017",0.001576,0.001617,0.001469,0.001519,673.0,6926.0
"Mar 04, 2017",0.001522,0.001573,0.001475,0.001532,652.0,6689.0
"Mar 05, 2017",0.00153,0.001544,0.00147,0.001532,875.0,6726.0
"Mar 06, 2017",0.001533,0.001556,0.001494,0.00154,1169.0,6737.0
"Mar 07, 2017",0.001541,0.001553,0.00137,0.001371,896.0,6771.0
"Mar 08, 2017",0.001371,0.001761,0.001295,0.001297,994.0,6023.0
"Mar 09, 2017",0.001297,0.001382,0.001287,0.001344,705.0,5702.0
"Mar 10, 2017",0.001344,0.001448,0.001218,0.001296,1096.0,5909.0
"Mar 11, 2017",0.001295,0.001474,0.001279,0.001354,430.0,5693.0
"Mar 12, 2017",0.001355,0.001542,0.001355,0.001527,735.0,5955.0
"Mar 13, 2017",0.001527,0.001537,0.001408,0.00144,1212.0,6712.0
"Mar 14, 2017",0.00144,0.001606,0.001416,0.001523,1568.0,6328.0
"Mar 15, 2017",0.001511,0.002233,0.001453,0.001722,1678.0,6641.0
"Mar 16, 2017",0.00165,0.002041,0.001483,0.001601,1290.0,7252.0
"Mar 17, 2017",0.001614,0.001709,0.001297,0.001297,1015.0,7093.0
"Mar 18, 2017",0.001296,0.001321,0.001124,0.001151,198.0,5696.0
"Mar 19, 2017",0.001154,0.001259,0.001121,0.001213,1087.0,5074.0
"Mar 20, 2017",0.001182,0.00127,0.001174,0.001254,1449.0,5197.0
"Mar 21, 2017",0.001256,0.001555,0.001051,0.001115,1022.0,5519.0
"Mar 22, 2017",0.001115,0.001173,0.000674,0.000993,1084.0,4900.0
"Mar 23, 2017",0.001047,0.00131,0.000871,0.00127,1253.0,4602.0
"Mar 24, 2017",0.001189,0.001301,0.000988,0.001037,1278.0,5223.0
"Mar 25, 2017",0.00106,0.001157,0.000926,0.001068,1240.0,4658.0
"Mar 26, 2017",0.001168,0.007635,0.000981,0.005508,7773.0,5133.0
"Mar 27, 2017",0.005406,0.006501,0.001712,0.00403,2133.0,23759.0
"Mar 28, 2017",0.004023,0.004023,0.001495,0.001495,148.0,17679.0
"Mar 29, 2017",0.001494,0.001657,0.001175,0.001421,1340.0,6565.0
"Mar 30, 2017",0.001424,0.001705,0.001058,0.001397,63.0,6259.0
"Mar 31, 2017",0.001398,0.001939,0.001398,0.001933,4.0,6143.0
"Apr 01, 2017",0.001933,0.002368,0.001403,0.001459,56.0,8495.0
"Apr 02, 2017",0.00146,0.001724,0.001372,0.001486,40.0,6415.0
"Apr 03, 2017",0.001597,0.001648,0.001231,0.001316,3897.0,7017.0
"Apr 04, 2017",0.001318,0.001474,0.000794,0.000795,326.0,5791.0
"Apr 05, 2017",0.000795,0.001293,0.000672,0.00108,45.0,3495.0
"Apr 06, 2017",0.001081,0.001453,0.001039,0.001278,59.0,4749.0
"Apr 07, 2017",0.001273,0.001589,0.001192,0.001589,40.0,5597.0
"Apr 08, 2017",0.001728,0.001845,0.001306,0.00131,378.0,7593.0
"Apr 09, 2017",0.001339,0.001519,0.001147,0.001155,113.0,5883.0
"Apr 10, 2017",0.001155,0.001389,0.000591,0.00076,428.0,5075.0
