datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.048239,0.068955,0.042787,0.067235,569903.0,1125070.0
"Jul 25, 2017",0.066299,0.137528,0.044312,0.069663,685901.0,1580070.0
"Jul 26, 2017",0.063993,0.066114,0.027646,0.042368,268500.0,1745240.0
"Jul 27, 2017",0.042387,0.044849,0.035778,0.041476,151327.0,1300970.0
"Jul 28, 2017",0.041426,0.043546,0.029937,0.033607,127311.0,1414080.0
"Jul 29, 2017",0.034432,0.03527,0.017795,0.023157,80028.0,1293890.0
"Jul 30, 2017",0.022424,0.026621,0.02183,0.022159,44254.0,919439.0
"Jul 31, 2017",0.022044,0.022424,0.018042,0.020806,88491.0,979856.0
"Aug 01, 2017",0.020675,0.021252,0.017983,0.020257,148482.0,990714.0
"Aug 02, 2017",0.020027,0.04019,0.019133,0.027575,204287.0,1028190.0
"Aug 03, 2017",0.028277,0.03633,0.027849,0.033253,248098.0,1549280.0
"Aug 04, 2017",0.033313,0.041865,0.032499,0.039814,271042.0,1940000.0
"Aug 05, 2017",0.039936,0.064665,0.039772,0.064236,530185.0,2462890.0
"Aug 06, 2017",0.063964,0.097733,0.060731,0.094908,1208920.0,4164000.0
"Aug 07, 2017",0.094862,0.165928,0.091707,0.125726,2434610.0,6501700.0
"Aug 08, 2017",0.122397,0.153368,0.08968,0.099221,1615360.0,8809690.0
"Aug 09, 2017",0.099086,0.101858,0.074979,0.084476,817434.0,7460840.0
"Aug 10, 2017",0.083824,0.116421,0.083824,0.110637,666855.0,6454360.0
"Aug 11, 2017",0.109294,0.11048,0.09168,0.101671,461664.0,8603740.0
"Aug 12, 2017",0.100406,0.101983,0.065536,0.085423,462006.0,8075430.0
"Aug 13, 2017",0.085344,0.087856,0.064462,0.080464,341795.0,7011320.0
"Aug 14, 2017",0.080674,0.081817,0.027832,0.055914,529739.0,6766170.0
"Aug 15, 2017",0.056061,0.072034,0.041026,0.048473,313536.0,4797730.0
"Aug 16, 2017",0.050458,0.057964,0.041715,0.051647,217104.0,4404570.0
"Aug 17, 2017",0.051858,0.075469,0.051518,0.075469,430054.0,4615840.0
"Aug 18, 2017",0.076484,0.08595,0.060965,0.077962,605899.0,6939780.0
"Aug 19, 2017",0.077575,0.080616,0.064357,0.070946,248638.0,7171810.0
"Aug 20, 2017",0.070618,0.071274,0.061641,0.063742,129963.0,6648870.0
"Aug 21, 2017",0.063107,0.063107,0.049436,0.051716,261851.0,6050320.0
"Aug 22, 2017",0.051851,0.055903,0.045944,0.0547,118184.0,5059660.0
