datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-8-05,1.21,1.42,1.21,1.21,1294120.0,0.0
2017-8-06,1.22,1.3,0.89228,0.943123,1173690.0,36061400.0
2017-8-07,0.941395,1.18,0.904707,1.04,1050580.0,27865300.0
2017-8-08,1.04,1.69,1.03,1.13,686479.0,30654200.0
2017-8-09,1.12,1.24,0.99001,1.03,806426.0,33264600.0
2017-8-10,1.01,1.28,0.987029,1.18,1045590.0,30017300.0
2017-8-11,1.18,1.52,1.18,1.46,2686410.0,34784700.0
2017-8-12,1.46,2.36,1.46,1.77,4181980.0,43170400.0
2017-8-13,1.77,2.05,1.63,1.85,1445090.0,52304900.0
2017-8-14,1.86,2.09,1.62,1.72,1728160.0,55122900.0
2017-8-15,1.72,1.81,1.57,1.69,1360200.0,50908000.0
2017-8-16,1.69,1.93,1.68,1.92,1472680.0,50161600.0
2017-8-17,1.92,2.27,1.92,2.06,3414940.0,56925300.0
2017-8-18,2.06,2.47,2.02,2.38,3907910.0,61056200.0
2017-8-19,2.38,2.47,2.15,2.35,2084280.0,70473200.0
2017-8-20,2.38,2.41,2.25,2.34,1228510.0,70580700.0
2017-8-21,2.33,2.45,2.1,2.1,1822100.0,69050800.0
2017-8-22,2.1,2.37,2.05,2.37,1148600.0,62285000.0
2017-8-23,2.37,2.43,2.19,2.2,1401010.0,70223200.0
2017-8-24,2.22,2.51,2.12,2.45,2104870.0,65689700.0
2017-8-25,2.45,2.74,2.36,2.59,4244360.0,72514500.0
2017-8-26,2.6,2.6,2.35,2.4,2332920.0,76890100.0
