datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",17.18,18.95,17.18,18.64,0.0,147355.0
"Jul 25, 2017",18.64,18.64,18.64,18.64,0.0,159856.0
"Jul 26, 2017",22.38,22.38,16.48,17.85,1230.0,191935.0
"Jul 27, 2017",17.85,18.89,17.56,18.78,324.0,151540.0
"Jul 28, 2017",18.77,18.83,17.01,18.2,1504.0,159380.0
"Jul 29, 2017",18.2,25.0,17.29,18.7,7128.0,152903.0
"Jul 30, 2017",18.7,19.45,17.99,18.82,7398.0,157060.0
"Jul 31, 2017",18.83,18.89,18.44,18.65,7332.0,158128.0
"Aug 01, 2017",18.93,18.93,17.68,18.17,654.0,158954.0
"Aug 02, 2017",18.17,21.79,15.81,20.91,1200.0,152605.0
"Aug 03, 2017",20.82,21.34,20.67,21.2,1216.0,174910.0
"Aug 04, 2017",22.35,22.35,17.71,19.3,547.0,187759.0
"Aug 05, 2017",19.25,21.04,17.79,18.34,217.0,165636.0
"Aug 06, 2017",18.34,19.14,17.09,17.6,424.0,159573.0
"Aug 07, 2017",17.6,17.6,16.32,16.51,1601.0,153197.0
"Aug 08, 2017",16.51,18.59,16.51,17.18,86.0,143686.0
"Aug 09, 2017",17.18,17.7,16.51,16.76,1089.0,149484.0
"Aug 10, 2017",16.76,18.61,16.62,18.29,1710.0,145852.0
"Aug 11, 2017",18.29,19.73,16.35,17.26,650.0,166463.0
"Aug 12, 2017",17.26,18.32,16.97,17.85,412.0,157053.0
"Aug 13, 2017",17.84,19.19,17.31,18.12,634.0,162389.0
"Aug 14, 2017",18.11,19.01,17.37,18.56,2334.0,154307.0
"Aug 15, 2017",18.56,19.84,17.1,18.59,10761.0,157770.0
"Aug 16, 2017",18.59,22.8,18.23,22.53,2070.0,160560.0
"Aug 17, 2017",22.53,22.74,14.99,18.8,301.0,194169.0
"Aug 18, 2017",18.8,20.24,17.93,18.01,1493.0,161245.0
"Aug 19, 2017",18.01,18.59,14.74,18.59,1883.0,154990.0
"Aug 20, 2017",18.59,20.36,15.3,18.41,146.0,161856.0
"Aug 21, 2017",18.4,19.34,18.14,19.27,321.0,160241.0
"Aug 22, 2017",19.27,20.44,17.45,18.33,1176.0,167802.0
