datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.012529,0.01253,0.010956,0.012213,21.0,34098.0
2017-1-02,0.012219,0.012585,0.0122,0.012585,6.0,33258.0
2017-1-03,0.012464,0.012633,0.012447,0.012633,0.0,33926.0
2017-1-04,0.01263,0.014698,0.01208,0.012958,6.0,34378.0
2017-1-05,0.012972,0.01338,0.010226,0.012186,1.0,35307.0
2017-1-06,0.01222,0.012623,0.010041,0.010105,0.0,33261.0
2017-1-07,0.010119,0.010688,0.009113,0.010688,5.0,27544.0
2017-1-08,0.010688,0.011183,0.010026,0.010237,1.0,29093.0
2017-1-09,0.010251,0.010279,0.009811,0.009942,50.0,27905.0
2017-1-10,0.009937,0.011653,0.00992,0.010256,2.0,27051.0
2017-1-11,0.010257,0.01039,0.008619,0.008981,0.0,27922.0
2017-1-12,0.008968,0.010126,0.008474,0.009214,3.0,24413.0
2017-1-13,0.009208,0.00952,0.008812,0.009455,3.0,25069.0
2017-1-14,0.009468,0.010011,0.009262,0.009333,2.0,25776.0
2017-1-15,0.00933,0.00938,0.009145,0.009246,2.0,25402.0
2017-1-16,0.009245,0.009622,0.009228,0.009585,26.0,25172.0
2017-1-17,0.009588,0.010107,0.009403,0.010072,1.0,26105.0
2017-1-18,0.010078,0.010224,0.009544,0.009783,2.0,27446.0
2017-1-19,0.009824,0.00995,0.009581,0.009804,1.0,26754.0
2017-1-20,0.0098,0.011306,0.00676,0.008987,38.0,26690.0
2017-1-21,0.008986,0.010917,0.008986,0.010915,28.0,24476.0
2017-1-22,0.010915,0.011602,0.010323,0.010818,3.0,29729.0
2017-1-23,0.010831,0.011876,0.010751,0.011759,21.0,29500.0
2017-1-24,0.01162,0.011694,0.010577,0.011165,7.0,31650.0
2017-1-25,0.01117,0.011694,0.010573,0.011681,14.0,30426.0
2017-1-26,0.011695,0.011986,0.011309,0.011497,13.0,31858.0
2017-1-27,0.011498,0.011669,0.009281,0.011396,43.0,31320.0
2017-1-28,0.011396,0.01166,0.011045,0.011048,12.0,31043.0
2017-1-29,0.011048,0.011483,0.010612,0.010744,1.0,30095.0
2017-1-30,0.010743,0.011639,0.010743,0.011468,9.0,29267.0
2017-1-31,0.011464,0.011856,0.010788,0.011447,3.0,31230.0
2017-2-01,0.011446,0.011869,0.011446,0.011869,1.0,31181.0
2017-2-02,0.011868,0.011969,0.011158,0.011259,2.0,32332.0
2017-2-03,0.011256,0.013322,0.010053,0.011108,35.0,30663.0
2017-2-04,0.011123,0.013572,0.011123,0.011378,45.0,30303.0
2017-2-05,0.011385,0.013444,0.011344,0.013373,15.0,31016.0
2017-2-06,0.013387,0.013443,0.007744,0.0104,1.0,36475.0
2017-2-07,0.010419,0.010597,0.010403,0.010594,1.0,28391.0
2017-2-08,0.014511,0.014609,0.014048,0.014394,9.0,39541.0
2017-2-09,0.014416,0.01456,0.010649,0.012514,8.0,39283.0
2017-2-10,0.01253,0.012582,0.008819,0.009303,3.0,38819.0
2017-2-11,0.009306,0.01052,0.008096,0.010469,2.0,25384.0
2017-2-12,0.01046,0.010558,0.009195,0.009329,1.0,28541.0
2017-2-13,0.009326,0.011763,0.009315,0.011193,31.0,25448.0
2017-2-14,0.011205,0.011216,0.009257,0.010462,5.0,30577.0
2017-2-15,0.010479,0.010893,0.009369,0.009571,1.0,28597.0
2017-2-16,0.009573,0.010721,0.009573,0.01072,1.0,26122.0
2017-2-17,0.010706,0.01158,0.010462,0.010462,1.0,29216.0
2017-2-18,0.010492,0.010875,0.01047,0.010859,1.0,29450.0
2017-2-19,0.010862,0.010862,0.010435,0.010493,1.0,30489.0
2017-2-20,0.010553,0.010576,0.009373,0.009581,2.0,29621.0
2017-2-21,0.009575,0.011173,0.009554,0.011153,1.0,26870.0
2017-2-22,0.011148,0.01261,0.011086,0.012521,6.0,30386.0
2017-2-23,0.012519,0.012943,0.012491,0.012834,1.0,34177.0
2017-2-24,0.0129,0.013204,0.011732,0.011737,1.0,35216.0
2017-2-25,0.011704,0.012495,0.0115,0.012495,1.0,31952.0
2017-2-26,0.012499,0.013903,0.011574,0.013899,3.0,34124.0
2017-2-27,0.013882,0.013956,0.01283,0.012993,2.0,37900.0
2017-2-28,0.013001,0.013186,0.012392,0.013181,5.0,35497.0
2017-3-01,0.013182,0.013559,0.013178,0.013501,1.0,35990.0
2017-3-02,0.013525,0.013533,0.011449,0.011484,1.0,36929.0
2017-3-03,0.011482,0.016221,0.011482,0.01462,15.0,31349.0
2017-3-04,0.014649,0.014671,0.013697,0.014434,0.0,14591.0
2017-3-05,0.014424,0.014492,0.011435,0.01449,1.0,17412.0
2017-3-06,0.014494,0.014495,0.011677,0.01366,2.0,17869.0
2017-3-07,0.013664,0.016051,0.013664,0.015377,24.0,17177.0
2017-3-08,0.015373,0.015513,0.014546,0.014571,20.0,19436.0
2017-3-09,0.014575,0.015125,0.013417,0.013775,3.0,17988.0
2017-3-10,0.013785,0.016097,0.013348,0.01389,10.0,18339.0
2017-3-11,0.013885,0.014847,0.011223,0.011333,12.0,18473.0
2017-3-12,0.011341,0.015534,0.011329,0.015463,4.0,15088.0
2017-3-13,0.015468,0.015607,0.011253,0.014783,4.0,20578.0
2017-3-14,0.014786,0.014823,0.013422,0.013442,28.0,19671.0
2017-3-15,0.013444,0.01526,0.013381,0.015245,5.0,17886.0
2017-3-16,0.015266,0.015347,0.01406,0.014491,6.0,20310.0
2017-3-17,0.014398,0.014398,0.010996,0.011002,1.0,19155.0
2017-3-18,0.010997,0.011141,0.009815,0.010057,1.0,14630.0
2017-3-19,0.01215,0.012925,0.012077,0.012524,0.0,16165.0
2017-3-20,0.01253,0.012816,0.009948,0.012703,3.0,16670.0
2017-3-21,0.012717,0.013525,0.012717,0.013503,0.0,34693.0
2017-3-22,0.013504,0.013504,0.013258,0.013361,0.0,36841.0
2017-3-23,0.009992,0.01048,0.005239,0.010375,3.0,27260.0
2017-3-24,0.010374,0.012124,0.007539,0.010125,5.0,28302.0
2017-3-25,0.010115,0.011709,0.010109,0.011673,12.0,27594.0
2017-3-26,0.011688,0.012176,0.01145,0.011601,2.0,31887.0
2017-3-27,0.011665,0.012557,0.009781,0.012549,2.0,31823.0
2017-3-28,0.012535,0.012776,0.009646,0.012566,3.0,34198.0
2017-3-29,0.012553,0.012662,0.012191,0.012552,1.0,34247.0
2017-3-30,0.01258,0.012665,0.009575,0.012512,12.0,34319.0
2017-3-31,0.012515,0.013114,0.012515,0.013076,6.0,34142.0
2017-4-01,0.013075,0.013319,0.012945,0.013182,1.0,35670.0
2017-4-02,0.013183,0.013457,0.012933,0.013402,17.0,35966.0
2017-4-03,0.013412,0.014051,0.013412,0.013966,37.0,36590.0
2017-4-04,0.013987,0.022957,0.013446,0.014653,32.0,38158.0
2017-4-05,0.014664,0.023747,0.014662,0.022496,122.0,40007.0
2017-4-06,0.022516,0.024873,0.021038,0.024718,33.0,61428.0
2017-4-07,0.02464,0.024768,0.021133,0.023503,26.0,67221.0
2017-4-08,0.024626,0.026013,0.017458,0.025612,9.0,67183.0
2017-4-09,0.025626,0.038578,0.015354,0.021393,117.0,69911.0
2017-4-10,0.021383,0.039821,0.021376,0.024039,11.0,58337.0
2017-4-11,0.024046,0.028692,0.015687,0.027655,76.0,65602.0
2017-4-12,0.02765,0.027704,0.021544,0.0245,65.0,75435.0
2017-4-13,0.024513,0.028455,0.024513,0.026414,79.0,66875.0
2017-4-14,0.026438,0.026933,0.026153,0.026865,2.0,72127.0
2017-4-15,0.02686,0.027692,0.026438,0.02644,3.0,73277.0
2017-4-16,0.026442,0.027114,0.024358,0.026155,10.0,72139.0
2017-4-17,0.026162,0.028407,0.025889,0.028021,5.0,71373.0
2017-4-18,0.028016,0.045717,0.027187,0.027522,17.0,76434.0
2017-4-19,0.027531,0.03515,0.025149,0.029757,17.0,75108.0
