datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 09, 2017",15.54,15.59,15.39,15.43,129.0,668.0
"Jun 10, 2017",15.46,867.88,15.46,867.88,43.0,665.0
"Jun 11, 2017",867.38,868.15,20.66,62.55,217.0,37297.0
"Jun 12, 2017",62.46,447.51,29.36,52.98,2216.0,2686.0
"Jun 13, 2017",52.8,122.94,26.6,35.49,333.0,0.0
"Jun 14, 2017",35.47,64.25,24.67,25.8,27.0,0.0
"Jun 15, 2017",25.8,26.3,22.35,25.51,19.0,0.0
"Jun 16, 2017",25.49,72.44,24.47,72.44,67.0,0.0
"Jun 17, 2017",72.44,72.44,18.99,18.99,147.0,0.0
"Jun 18, 2017",18.99,18.99,18.99,18.99,45.0,0.0
"Jun 19, 2017",37.97,37.97,37.97,37.97,2.0,0.0
"Jun 20, 2017",37.97,37.97,37.97,37.97,2.0,0.0
"Jul 02, 2017",2e-06,6e-06,1e-06,5e-06,1555.0,43048.0
"Jul 03, 2017",5e-06,1e-05,4e-06,1e-05,2294.0,88530.0
"Jul 04, 2017",7e-06,1.6e-05,7e-06,1e-05,2338.0,137282.0
"Jul 05, 2017",1e-05,1.5e-05,7e-06,9e-06,1634.0,194543.0
"Jul 06, 2017",9e-06,1.3e-05,8e-06,9e-06,3437.0,164331.0
"Jul 07, 2017",9e-06,1.3e-05,6e-06,1.2e-05,827.0,163384.0
"Jul 08, 2017",1.2e-05,1.4e-05,2e-06,8e-06,798.0,229402.0
"Jul 09, 2017",8e-06,9e-06,3e-06,5e-06,225.0,162134.0
"Jul 10, 2017",5e-06,9e-06,3e-06,8e-06,129.0,103039.0
"Jul 11, 2017",8e-06,1.4e-05,5e-06,1.2e-05,275.0,165394.0
"Jul 12, 2017",1.2e-05,1.6e-05,1.2e-05,1.3e-05,678.0,237802.0
"Jul 13, 2017",1.3e-05,2e-05,7e-06,2e-05,340.0,256057.0
"Jul 14, 2017",2e-05,2.1e-05,1.4e-05,1.5e-05,163.0,388960.0
"Jul 15, 2017",1.5e-05,2.1e-05,6e-06,1.9e-05,930.0,292512.0
"Jul 16, 2017",1.9e-05,1.9e-05,7e-06,1.5e-05,61.0,365891.0
"Jul 17, 2017",1.5e-05,1.7e-05,1.2e-05,1.5e-05,311.0,296289.0
"Jul 18, 2017",1.5e-05,2.2e-05,8e-06,1.8e-05,666.0,295134.0
"Jul 19, 2017",1.8e-05,2.2e-05,8e-06,8e-06,170.0,362613.0
"Jul 20, 2017",8e-06,1.8e-05,7e-06,1.7e-05,101.0,148772.0
"Jul 21, 2017",1.7e-05,2.4e-05,6e-06,2.3e-05,392.0,340939.0
"Jul 22, 2017",2.3e-05,2.6e-05,7e-06,1.2e-05,14.0,463610.0
"Jul 23, 2017",1.2e-05,2.7e-05,8e-06,2.7e-05,34.0,237543.0
"Jul 24, 2017",2.7e-05,2.7e-05,1e-05,1e-05,72.0,527646.0
"Jul 25, 2017",1e-05,1.1e-05,6e-06,7e-06,81.0,199640.0
"Jul 26, 2017",7e-06,1.6e-05,3e-06,6e-06,69.0,136899.0
"Jul 27, 2017",6e-06,1e-05,4e-06,9e-06,89.0,114632.0
"Jul 28, 2017",1e-05,2.1e-05,9e-06,1.1e-05,128.0,188918.0
"Jul 29, 2017",1.1e-05,1.1e-05,2e-06,3e-06,57.0,213269.0
"Jul 30, 2017",3e-06,1.2e-05,2e-06,1.2e-05,225.0,57308.0
"Jul 31, 2017",1.2e-05,1.7e-05,2e-06,2e-06,134.0,235522.0
"Aug 01, 2017",2e-06,3e-06,2e-06,3e-06,41.0,42049.0
"Aug 02, 2017",3e-06,4e-06,2e-06,2e-06,52.0,60077.0
"Aug 03, 2017",2e-06,2.5e-05,2e-06,1.8e-05,78.0,33257.0
"Aug 04, 2017",1.8e-05,2.5e-05,1.8e-05,2.1e-05,215.0,365326.0
"Aug 05, 2017",2.1e-05,2.4e-05,6e-06,6e-06,68.0,424312.0
"Aug 06, 2017",6e-06,1.9e-05,6e-06,1.8e-05,150.0,129357.0
"Aug 07, 2017",1.8e-05,3.1e-05,7e-06,7e-06,104.0,365858.0
"Aug 08, 2017",7e-06,2.4e-05,6e-06,2.4e-05,62.0,136490.0
"Aug 09, 2017",2.4e-05,3.2e-05,7e-06,1.3e-05,43.0,471298.0
"Aug 10, 2017",1.3e-05,3.2e-05,1.3e-05,3.1e-05,441.0,267735.0
"Aug 11, 2017",3.1e-05,3.6e-05,1.2e-05,3.6e-05,334.0,614092.0
"Aug 12, 2017",3.6e-05,3.7e-05,5e-06,3.6e-05,643.0,713656.0
"Aug 13, 2017",3.6e-05,4e-05,3e-06,6e-06,1370.0,723844.0
"Aug 14, 2017",6e-06,8e-06,5e-06,6e-06,612.0,112172.0
"Aug 15, 2017",6e-06,9e-06,4e-06,7e-06,468.0,112646.0
"Aug 16, 2017",9e-06,2.1e-05,4e-06,1.7e-05,137.0,179165.0
"Aug 17, 2017",1.7e-05,1.7e-05,5e-06,5e-06,419.0,337366.0
"Aug 18, 2017",5e-06,0.00014,5e-06,1.2e-05,3435.0,102605.0
"Aug 19, 2017",1.2e-05,3.5e-05,1.2e-05,3e-05,962.0,246953.0
"Aug 20, 2017",3e-05,3e-05,8e-06,8e-06,314.0,600818.0
"Aug 21, 2017",8e-06,2.1e-05,8e-06,2.1e-05,117.0,169287.0
"Aug 22, 2017",2.1e-05,2.1e-05,6e-06,8e-06,484.0,419261.0
